"month","day","carrier","origin","orstate","dest","deststate","depart","delay","duration","distance"
"4","1","AA","MSY","LA","CLT","NC",295,0,105,651
"4","1","AA","MSY","LA","CLT","NC",295,0,115,651
"4","1","AA","MSY","LA","CLT","NC",295,0,118,651
"4","1","AA","MSY","LA","CLT","NC",297,0,127,651
"4","1","AA","MSY","LA","CLT","NC",409,0,118,651
"4","1","AA","MSY","LA","CLT","NC",416,0,143,651
"4","1","AA","MSY","LA","CLT","NC",418,0,110,651
"4","1","AA","MSY","LA","CLT","NC",418,0,128,651
"4","1","AA","MSY","LA","CLT","NC",550,0,110,651
"4","1","AA","MSY","LA","CLT","NC",766,0,112,651
"4","1","AA","MSY","LA","CLT","NC",770,0,112,651
"4","1","AA","MSY","LA","CLT","NC",771,0,117,651
"4","1","AA","MSY","LA","CLT","NC",861,0,114,651
"4","1","AA","MSY","LA","CLT","NC",867,0,119,651
"4","1","AA","MSY","LA","CLT","NC",1012,0,107,651
"4","1","AA","MSY","LA","CLT","NC",1120,0,107,651
"4","1","AA","MSY","LA","DCA","VA",788,0,163,969
"4","1","AA","MSY","LA","DCA","VA",1034,0,149,969
"4","1","AA","MSY","LA","DFW","TX",342,0,119,447
"4","1","AA","MSY","LA","DFW","TX",345,0,115,447
"4","1","AA","MSY","LA","DFW","TX",401,0,92,447
"4","1","AA","MSY","LA","DFW","TX",402,0,92,447
"4","1","AA","MSY","LA","DFW","TX",472,0,103,447
"4","1","AA","MSY","LA","DFW","TX",484,0,119,447
"4","1","AA","MSY","LA","DFW","TX",590,0,105,447
"4","1","AA","MSY","LA","DFW","TX",748,0,89,447
"4","1","AA","MSY","LA","DFW","TX",1090,0,114,447
"4","1","AA","MSY","LA","MIA","FL",355,0,110,675
"4","1","AA","MSY","LA","MIA","FL",355,0,117,675
"4","1","AA","MSY","LA","MIA","FL",360,0,104,675
"4","1","AA","MSY","LA","MIA","FL",393,0,105,675
"4","1","AA","MSY","LA","MIA","FL",479,0,117,675
"4","1","AA","MSY","LA","MIA","FL",481,0,109,675
"4","1","AA","MSY","LA","MIA","FL",1025,0,129,675
"4","1","AA","MSY","LA","MIA","FL",1029,0,100,675
"4","1","AA","MSY","LA","MIA","FL",1096,0,104,675
"4","1","AA","MSY","LA","ORD","IL",708,0,152,836
"4","1","AA","MSY","LA","ORD","IL",982,0,150,836
"4","1","AA","MSY","LA","ORD","IL",987,0,144,836
"4","1","AA","MSY","LA","ORD","IL",990,0,151,836
"4","1","AA","MSY","LA","ORD","IL",1000,0,160,836
"4","1","AA","MSY","LA","PHL","PA",657,0,163,1089
"4","1","AA","MSY","LA","PHL","PA",661,0,167,1089
"4","1","AA","MSY","LA","PHL","PA",668,0,150,1089
"4","1","AA","MSY","LA","PHL","PA",784,0,156,1089
"4","1","AA","MSY","LA","PHL","PA",786,0,162,1089
"4","1","AA","MSY","LA","PHL","PA",789,0,158,1089
"4","1","AA","MSY","LA","PHX","AZ",861,0,212,1300
"4","1","AA","MSY","LA","PHX","AZ",1083,0,201,1300
"4","1","AA","MSY","LA","PHX","AZ",1110,0,203,1300
"4","1","AS","MSY","LA","SEA","WA",1083,0,317,2086
"4","1","B6","MSY","LA","BOS","MA",630,0,189,1368
"4","1","B6","MSY","LA","BOS","MA",630,0,197,1368
"4","1","B6","MSY","LA","BOS","MA",636,0,191,1368
"4","1","B6","MSY","LA","BOS","MA",654,0,188,1368
"4","1","B6","MSY","LA","FLL","FL",328,0,107,674
"4","1","B6","MSY","LA","FLL","FL",338,0,108,674
"4","1","B6","MSY","LA","FLL","FL",343,0,109,674
"4","1","B6","MSY","LA","JFK","NY",387,0,168,1182
"4","1","B6","MSY","LA","JFK","NY",398,0,175,1182
"4","1","B6","MSY","LA","JFK","NY",399,0,170,1182
"4","1","B6","MSY","LA","JFK","NY",1005,0,179,1182
"4","1","B6","MSY","LA","JFK","NY",1013,0,179,1182
"4","1","B6","MSY","LA","JFK","NY",1018,0,170,1182
"4","1","B6","MSY","LA","LGA","NY",771,0,171,1183
"4","1","B6","MSY","LA","LGA","NY",779,0,167,1183
"4","1","DL","MSY","LA","ATL","GA",325,0,77,425
"4","1","DL","MSY","LA","ATL","GA",328,0,76,425
"4","1","DL","MSY","LA","ATL","GA",330,0,82,425
"4","1","DL","MSY","LA","ATL","GA",331,0,80,425
"4","1","DL","MSY","LA","ATL","GA",391,0,86,425
"4","1","DL","MSY","LA","ATL","GA",391,0,90,425
"4","1","DL","MSY","LA","ATL","GA",395,0,83,425
"4","1","DL","MSY","LA","ATL","GA",448,0,78,425
"4","1","DL","MSY","LA","ATL","GA",451,0,74,425
"4","1","DL","MSY","LA","ATL","GA",455,0,79,425
"4","1","DL","MSY","LA","ATL","GA",537,0,87,425
"4","1","DL","MSY","LA","ATL","GA",538,0,79,425
"4","1","DL","MSY","LA","ATL","GA",538,0,79,425
"4","1","DL","MSY","LA","ATL","GA",692,0,82,425
"4","1","DL","MSY","LA","ATL","GA",695,0,78,425
"4","1","DL","MSY","LA","ATL","GA",697,0,75,425
"4","1","DL","MSY","LA","ATL","GA",705,0,86,425
"4","1","DL","MSY","LA","ATL","GA",839,0,78,425
"4","1","DL","MSY","LA","ATL","GA",846,0,86,425
"4","1","DL","MSY","LA","ATL","GA",848,0,78,425
"4","1","DL","MSY","LA","ATL","GA",857,0,83,425
"4","1","DL","MSY","LA","ATL","GA",1022,0,78,425
"4","1","DL","MSY","LA","ATL","GA",1030,0,71,425
"4","1","DL","MSY","LA","ATL","GA",1134,0,73,425
"4","1","DL","MSY","LA","ATL","GA",1134,0,89,425
"4","1","DL","MSY","LA","ATL","GA",1136,0,78,425
"4","1","DL","MSY","LA","ATL","GA",1144,0,88,425
"4","1","DL","MSY","LA","BOS","MA",810,0,202,1368
"4","1","DL","MSY","LA","BOS","MA",814,0,186,1368
"4","1","DL","MSY","LA","BOS","MA",837,0,185,1368
"4","1","DL","MSY","LA","DTW","MI",702,0,151,926
"4","1","DL","MSY","LA","DTW","MI",703,0,140,926
"4","1","DL","MSY","LA","DTW","MI",704,0,137,926
"4","1","DL","MSY","LA","DTW","MI",729,0,143,926
"4","1","DL","MSY","LA","DTW","MI",1100,0,142,926
"4","1","DL","MSY","LA","DTW","MI",1104,0,144,926
"4","1","DL","MSY","LA","DTW","MI",1109,0,139,926
"4","1","DL","MSY","LA","JFK","NY",684,0,167,1182
"4","1","DL","MSY","LA","JFK","NY",684,0,170,1182
"4","1","DL","MSY","LA","JFK","NY",689,0,174,1182
"4","1","DL","MSY","LA","JFK","NY",697,0,159,1182
"4","1","DL","MSY","LA","JFK","NY",1135,0,168,1182
"4","1","DL","MSY","LA","JFK","NY",1144,0,172,1182
"4","1","DL","MSY","LA","LAX","CA",365,0,254,1670
"4","1","DL","MSY","LA","LAX","CA",367,0,251,1670
"4","1","DL","MSY","LA","LAX","CA",379,0,255,1670
"4","1","DL","MSY","LA","LAX","CA",1167,0,265,1670
"4","1","DL","MSY","LA","LAX","CA",1197,0,261,1670
"4","1","DL","MSY","LA","LAX","CA",1198,0,269,1670
"4","1","DL","MSY","LA","LAX","CA",1202,0,242,1670
"4","1","DL","MSY","LA","LGA","NY",413,0,170,1183
"4","1","DL","MSY","LA","LGA","NY",415,0,168,1183
"4","1","DL","MSY","LA","LGA","NY",418,0,168,1183
"4","1","DL","MSY","LA","LGA","NY",418,0,169,1183
"4","1","DL","MSY","LA","LGA","NY",818,0,170,1183
"4","1","DL","MSY","LA","LGA","NY",819,0,174,1183
"4","1","DL","MSY","LA","MSP","MN",1024,0,170,1039
"4","1","DL","MSY","LA","MSP","MN",1026,0,157,1039
"4","1","DL","MSY","LA","MSP","MN",1027,0,152,1039
"4","1","DL","MSY","LA","SLC","UT",1084,0,215,1428
"4","1","DL","MSY","LA","SLC","UT",1088,0,225,1428
"4","1","F9","MSY","LA","MCO","FL",642,0,107,551
"4","1","F9","MSY","LA","MCO","FL",646,0,103,551
"4","1","F9","MSY","LA","MCO","FL",647,0,99,551
"4","1","F9","MSY","LA","PHL","PA",534,0,164,1089
"4","1","F9","MSY","LA","PHL","PA",534,0,168,1089
"4","1","F9","MSY","LA","PHL","PA",540,0,160,1089
"4","1","G4","MSY","LA","IND","IN",475,0,125,707
"4","1","G4","MSY","LA","IND","IN",513,0,112,707
"4","1","MQ","MSY","LA","AUS","TX",381,0,102,444
"4","1","MQ","MSY","LA","AUS","TX",417,0,101,444
"4","1","MQ","MSY","LA","AUS","TX",934,0,91,444
"4","1","MQ","MSY","LA","AUS","TX",950,0,87,444
"4","1","MQ","MSY","LA","MIA","FL",945,0,98,675
"4","1","MQ","MSY","LA","MIA","FL",967,0,103,675
"4","1","NK","MSY","LA","ATL","GA",633,0,83,425
"4","1","NK","MSY","LA","ATL","GA",636,0,80,425
"4","1","NK","MSY","LA","ATL","GA",637,0,84,425
"4","1","NK","MSY","LA","BOS","MA",434,0,194,1368
"4","1","NK","MSY","LA","BWI","MD",1302,0,140,998
"4","1","NK","MSY","LA","DTW","MI",1129,0,143,926
"4","1","NK","MSY","LA","EWR","NJ",458,0,168,1167
"4","1","NK","MSY","LA","EWR","NJ",823,0,172,1167
"4","1","NK","MSY","LA","EWR","NJ",837,0,167,1167
"4","1","NK","MSY","LA","FLL","FL",309,0,98,674
"4","1","NK","MSY","LA","FLL","FL",385,0,104,674
"4","1","NK","MSY","LA","FLL","FL",1255,0,109,674
"4","1","NK","MSY","LA","FLL","FL",1256,0,106,674
"4","1","NK","MSY","LA","IAH","TX",883,0,78,305
"4","1","NK","MSY","LA","LAS","NV",1279,0,213,1500
"4","1","NK","MSY","LA","LAS","NV",1315,0,226,1500
"4","1","NK","MSY","LA","LAX","CA",1135,0,252,1670
"4","1","NK","MSY","LA","MCO","FL",534,0,108,551
"4","1","NK","MSY","LA","MCO","FL",1273,0,93,551
"4","1","NK","MSY","LA","ORD","IL",570,0,151,836
"4","1","NK","MSY","LA","PHL","PA",431,0,171,1089
"4","1","NK","MSY","LA","PHL","PA",891,0,155,1089
"4","1","NK","MSY","LA","TPA","FL",1124,0,101,488
"4","1","OH","MSY","LA","CLT","NC",626,0,130,651
"4","1","OH","MSY","LA","CLT","NC",651,0,125,651
"4","1","OH","MSY","LA","DCA","VA",417,0,153,969
"4","1","OH","MSY","LA","DCA","VA",421,0,160,969
"4","1","OH","MSY","LA","DCA","VA",1069,0,168,969
"4","1","OH","MSY","LA","DCA","VA",1070,0,152,969
"4","1","UA","MSY","LA","DEN","CO",475,0,185,1062
"4","1","UA","MSY","LA","DEN","CO",478,0,173,1062
"4","1","UA","MSY","LA","DEN","CO",479,0,172,1062
"4","1","UA","MSY","LA","DEN","CO",480,0,186,1062
"4","1","UA","MSY","LA","DEN","CO",964,0,172,1062
"4","1","UA","MSY","LA","DEN","CO",977,0,166,1062
"4","1","UA","MSY","LA","DEN","CO",986,0,168,1062
"4","1","UA","MSY","LA","DEN","CO",1060,0,184,1062
"4","1","UA","MSY","LA","DEN","CO",1065,0,179,1062
"4","1","UA","MSY","LA","EWR","NJ",354,0,171,1167
"4","1","UA","MSY","LA","EWR","NJ",355,0,173,1167
"4","1","UA","MSY","LA","EWR","NJ",356,0,180,1167
"4","1","UA","MSY","LA","EWR","NJ",360,0,164,1167
"4","1","UA","MSY","LA","EWR","NJ",470,0,166,1167
"4","1","UA","MSY","LA","EWR","NJ",471,0,169,1167
"4","1","UA","MSY","LA","EWR","NJ",472,0,179,1167
"4","1","UA","MSY","LA","EWR","NJ",474,0,183,1167
"4","1","UA","MSY","LA","EWR","NJ",650,0,174,1167
"4","1","UA","MSY","LA","EWR","NJ",654,0,169,1167
"4","1","UA","MSY","LA","EWR","NJ",658,0,181,1167
"4","1","UA","MSY","LA","EWR","NJ",662,0,159,1167
"4","1","UA","MSY","LA","EWR","NJ",918,0,161,1167
"4","1","UA","MSY","LA","EWR","NJ",919,0,185,1167
"4","1","UA","MSY","LA","EWR","NJ",922,0,172,1167
"4","1","UA","MSY","LA","IAD","VA",1076,0,143,955
"4","1","UA","MSY","LA","IAD","VA",1077,0,139,955
"4","1","UA","MSY","LA","IAD","VA",1096,0,131,955
"4","1","UA","MSY","LA","IAH","TX",414,0,80,305
"4","1","UA","MSY","LA","IAH","TX",419,0,77,305
"4","1","UA","MSY","LA","IAH","TX",420,0,84,305
"4","1","UA","MSY","LA","IAH","TX",565,0,81,305
"4","1","UA","MSY","LA","IAH","TX",573,0,77,305
"4","1","UA","MSY","LA","IAH","TX",579,0,77,305
"4","1","UA","MSY","LA","IAH","TX",724,0,82,305
"4","1","UA","MSY","LA","IAH","TX",727,0,83,305
"4","1","UA","MSY","LA","IAH","TX",735,0,77,305
"4","1","UA","MSY","LA","IAH","TX",740,0,82,305
"4","1","UA","MSY","LA","IAH","TX",838,0,76,305
"4","1","UA","MSY","LA","IAH","TX",838,0,81,305
"4","1","UA","MSY","LA","IAH","TX",842,0,80,305
"4","1","UA","MSY","LA","IAH","TX",903,0,83,305
"4","1","UA","MSY","LA","IAH","TX",911,0,76,305
"4","1","UA","MSY","LA","IAH","TX",1047,0,75,305
"4","1","UA","MSY","LA","IAH","TX",1133,0,68,305
"4","1","UA","MSY","LA","IAH","TX",1157,0,75,305
"4","1","UA","MSY","LA","IAH","TX",1163,0,72,305
"4","1","UA","MSY","LA","ORD","IL",414,0,149,836
"4","1","UA","MSY","LA","ORD","IL",419,0,155,836
"4","1","UA","MSY","LA","ORD","IL",422,0,151,836
"4","1","UA","MSY","LA","ORD","IL",862,0,157,836
"4","1","UA","MSY","LA","ORD","IL",863,0,152,836
"4","1","UA","MSY","LA","ORD","IL",865,0,137,836
"4","1","UA","MSY","LA","ORD","IL",1053,0,142,836
"4","1","UA","MSY","LA","ORD","IL",1056,0,140,836
"4","1","UA","MSY","LA","ORD","IL",1057,0,148,836
"4","1","UA","MSY","LA","SFO","CA",382,0,280,1911
"4","1","UA","MSY","LA","SFO","CA",390,0,285,1911
"4","1","UA","MSY","LA","SFO","CA",396,0,276,1911
"4","1","WN","MSY","LA","ATL","GA",311,0,75,425
"4","1","WN","MSY","LA","ATL","GA",311,0,82,425
"4","1","WN","MSY","LA","ATL","GA",317,0,87,425
"4","1","WN","MSY","LA","ATL","GA",322,0,77,425
"4","1","WN","MSY","LA","ATL","GA",1027,0,77,425
"4","1","WN","MSY","LA","ATL","GA",1029,0,76,425
"4","1","WN","MSY","LA","ATL","GA",1030,0,76,425
"4","1","WN","MSY","LA","AUS","TX",306,0,82,444
"4","1","WN","MSY","LA","AUS","TX",308,0,96,444
"4","1","WN","MSY","LA","AUS","TX",312,0,82,444
"4","1","WN","MSY","LA","AUS","TX",312,0,84,444
"4","1","WN","MSY","LA","AUS","TX",585,0,83,444
"4","1","WN","MSY","LA","AUS","TX",585,0,96,444
"4","1","WN","MSY","LA","AUS","TX",588,0,90,444
"4","1","WN","MSY","LA","AUS","TX",889,0,85,444
"4","1","WN","MSY","LA","AUS","TX",892,0,81,444
"4","1","WN","MSY","LA","AUS","TX",893,0,82,444
"4","1","WN","MSY","LA","AUS","TX",1150,0,81,444
"4","1","WN","MSY","LA","BNA","TN",472,0,94,471
"4","1","WN","MSY","LA","BNA","TN",474,0,89,471
"4","1","WN","MSY","LA","BNA","TN",475,0,89,471
"4","1","WN","MSY","LA","BNA","TN",479,0,88,471
"4","1","WN","MSY","LA","BNA","TN",646,0,91,471
"4","1","WN","MSY","LA","BNA","TN",653,0,78,471
"4","1","WN","MSY","LA","BNA","TN",654,0,84,471
"4","1","WN","MSY","LA","BNA","TN",1009,0,95,471
"4","1","WN","MSY","LA","BNA","TN",1011,0,83,471
"4","1","WN","MSY","LA","BNA","TN",1016,0,84,471
"4","1","WN","MSY","LA","BWI","MD",336,0,147,998
"4","1","WN","MSY","LA","BWI","MD",340,0,148,998
"4","1","WN","MSY","LA","BWI","MD",340,0,153,998
"4","1","WN","MSY","LA","BWI","MD",343,0,136,998
"4","1","WN","MSY","LA","BWI","MD",1018,0,140,998
"4","1","WN","MSY","LA","BWI","MD",1023,0,142,998
"4","1","WN","MSY","LA","DAL","TX",358,0,85,436
"4","1","WN","MSY","LA","DAL","TX",361,0,83,436
"4","1","WN","MSY","LA","DAL","TX",362,0,84,436
"4","1","WN","MSY","LA","DAL","TX",439,0,83,436
"4","1","WN","MSY","LA","DAL","TX",440,0,85,436
"4","1","WN","MSY","LA","DAL","TX",443,0,77,436
"4","1","WN","MSY","LA","DAL","TX",619,0,86,436
"4","1","WN","MSY","LA","DAL","TX",623,0,89,436
