"rownum"	"predicty"
13334	1
13335	1
13336	1
13337	1
13338	1
13339	1
13340	1
13341	1
13342	1
13343	1
13344	1
13345	1
13346	1
13347	1
13348	1
13349	1
13350	1
13351	0
13352	1
13353	1
13354	1
13355	1
13356	1
13357	0
13358	1
13359	1
13360	1
13361	1
13362	0
13363	1
13364	1
13365	1
13366	1
13367	1
13368	1
13369	1
13370	1
13371	1
13372	1
13373	1
13374	1
13375	0
13376	1
13377	1
13378	0
13379	1
13380	0
13381	1
13382	1
13383	0
13384	1
13385	0
13386	0
13387	1
13388	1
13389	1
13390	1
13391	1
13392	1
13393	1
13394	1
13395	1
13396	1
13397	1
13398	1
13399	0
13400	0
13401	1
13402	1
13403	1
13404	1
13405	0
13406	1
13407	1
13408	1
13409	0
13410	0
13411	1
13412	1
13413	1
13414	1
13415	1
13416	1
13417	1
13418	1
13419	1
13420	1
13421	1
13422	1
13423	1
13424	1
13425	1
13426	1
13427	1
13428	0
13429	0
13430	1
13431	0
13432	1
13433	1
13434	1
13435	0
13436	1
13437	1
13438	1
13439	1
13440	1
13441	1
13442	1
13443	1
13444	1
13445	1
13446	1
13447	1
13448	0
13449	1
13450	1
13451	1
13452	1
13453	1
13454	1
13455	0
13456	1
13457	0
13458	0
13459	1
13460	1
13461	0
13462	0
13463	1
13464	1
13465	1
13466	0
13467	1
13468	1
13469	1
13470	1
13471	1
13472	1
13473	1
13474	1
13475	1
13476	1
13477	1
13478	1
13479	1
13480	1
13481	0
13482	1
13483	1
13484	1
13485	1
13486	1
13487	1
13488	1
13489	1
13490	1
13491	0
13492	1
13493	1
13494	1
13495	0
13496	1
13497	0
13498	1
13499	1
13500	1
13501	1
13502	1
13503	1
13504	1
13505	1
13506	1
13507	1
13508	0
13509	1
13510	1
13511	1
13512	1
13513	1
13514	1
13515	0
13516	1
13517	1
13518	1
13519	1
13520	1
13521	1
13522	1
13523	1
13524	1
13525	1
13526	1
13527	1
13528	0
13529	1
13530	1
13531	0
13532	1
13533	1
13534	1
13535	0
13536	1
13537	1
13538	0
13539	1
13540	1
13541	1
13542	1
13543	1
13544	1
13545	1
13546	1
13547	1
13548	1
13549	1
13550	1
13551	1
13552	1
13553	1
13554	1
13555	1
13556	1
13557	1
13558	1
13559	1
13560	1
13561	1
13562	1
13563	1
13564	1
13565	1
13566	1
13567	1
13568	0
13569	1
13570	1
13571	1
13572	1
13573	1
13574	1
13575	1
13576	1
13577	1
13578	1
13579	0
13580	1
13581	1
13582	0
13583	1
13584	1
13585	1
13586	1
13587	1
13588	1
13589	1
13590	1
13591	1
13592	1
13593	1
13594	1
13595	1
13596	1
13597	1
13598	1
13599	1
13600	1
13601	1
13602	1
13603	1
13604	0
13605	1
13606	1
13607	1
13608	0
13609	0
13610	0
13611	1
13612	1
13613	1
13614	1
13615	1
13616	1
13617	1
13618	1
13619	1
13620	0
13621	1
13622	1
13623	1
13624	1
13625	1
13626	1
13627	1
13628	1
13629	1
13630	1
13631	1
13632	1
13633	1
13634	0
13635	1
13636	1
13637	1
13638	1
13639	1
13640	0
13641	1
13642	1
13643	1
13644	1
13645	1
13646	1
13647	0
13648	0
13649	1
13650	1
13651	1
13652	1
13653	1
13654	1
13655	1
13656	1
13657	1
13658	1
13659	1
13660	1
13661	1
13662	1
13663	1
13664	1
13665	1
13666	1
13667	1
13668	1
13669	1
13670	0
13671	1
13672	1
13673	1
13674	1
13675	1
13676	1
13677	0
13678	1
13679	1
13680	1
13681	0
13682	1
13683	1
13684	1
13685	1
13686	1
13687	0
13688	1
13689	1
13690	0
13691	1
13692	1
13693	1
13694	1
13695	1
13696	1
13697	1
13698	0
13699	0
13700	0
13701	0
13702	0
13703	1
13704	1
13705	1
13706	1
13707	1
13708	1
13709	1
13710	1
13711	1
13712	1
13713	1
13714	1
13715	1
13716	1
13717	1
