"rownum"	"predicty"
13334	0
13335	0
13336	0
13337	0
13338	0
13339	1
13340	0
13341	0
13342	1
13343	0
13344	0
13345	0
13346	0
13347	0
13348	1
13349	1
13350	0
13351	0
13352	0
13353	0
13354	1
13355	0
13356	1
13357	0
13358	0
13359	0
13360	0
13361	0
13362	0
13363	1
13364	0
13365	0
13366	1
13367	0
13368	0
13369	0
13370	1
13371	0
13372	1
13373	0
13374	1
13375	0
13376	0
13377	0
13378	0
13379	0
13380	0
13381	0
13382	0
13383	0
13384	0
13385	1
13386	1
13387	0
13388	1
13389	0
13390	0
13391	0
13392	0
13393	0
13394	0
13395	1
13396	0
13397	1
13398	0
13399	0
13400	1
13401	0
13402	1
13403	0
13404	0
13405	0
13406	0
13407	0
13408	0
13409	0
13410	1
13411	1
13412	0
13413	0
13414	0
13415	1
13416	0
13417	0
13418	0
13419	0
13420	0
13421	0
13422	0
13423	0
13424	0
13425	0
13426	1
13427	0
13428	0
13429	0
13430	0
13431	0
13432	0
13433	0
13434	0
13435	0
13436	0
13437	0
13438	0
13439	0
13440	0
13441	0
13442	0
13443	1
13444	0
13445	0
13446	0
13447	0
13448	0
13449	0
13450	0
13451	1
13452	0
13453	0
13454	0
13455	0
13456	0
13457	0
13458	0
13459	0
13460	0
13461	0
13462	0
13463	0
13464	0
13465	0
13466	0
13467	0
13468	1
13469	1
13470	1
13471	0
13472	0
13473	0
13474	0
13475	0
13476	1
13477	0
13478	1
13479	0
13480	0
13481	1
13482	0
13483	0
13484	0
13485	0
13486	0
13487	0
13488	0
13489	1
13490	1
13491	0
13492	0
13493	0
13494	0
13495	0
13496	0
13497	0
13498	0
13499	1
13500	0
13501	1
13502	0
13503	0
13504	0
13505	0
13506	0
13507	0
13508	0
13509	1
13510	0
13511	0
13512	0
13513	1
13514	1
13515	0
13516	0
13517	1
13518	0
13519	0
13520	0
13521	0
13522	0
13523	1
13524	0
13525	0
13526	0
13527	0
13528	0
13529	0
13530	0
13531	0
13532	0
13533	0
13534	1
13535	0
13536	0
13537	0
13538	0
13539	0
13540	0
13541	0
13542	0
13543	1
13544	0
13545	0
13546	1
13547	0
13548	0
13549	1
13550	0
13551	0
13552	0
13553	0
13554	0
13555	1
13556	1
13557	1
13558	0
13559	0
13560	1
13561	0
13562	0
13563	1
13564	0
13565	0
13566	0
13567	0
13568	0
13569	0
13570	1
13571	1
13572	0
13573	1
13574	0
13575	0
13576	1
13577	0
13578	0
13579	0
13580	0
13581	1
13582	0
13583	0
13584	0
13585	1
13586	0
13587	0
13588	0
13589	0
13590	0
13591	0
13592	0
13593	0
13594	1
13595	0
13596	0
13597	1
13598	0
13599	0
13600	0
13601	0
13602	0
13603	0
13604	0
13605	0
13606	0
13607	0
13608	0
13609	0
13610	0
13611	0
13612	0
13613	0
13614	0
13615	0
13616	0
13617	0
13618	0
13619	0
13620	0
13621	1
13622	0
13623	0
13624	1
13625	0
13626	0
13627	1
13628	0
13629	0
13630	0
13631	0
13632	1
13633	0
13634	0
13635	0
13636	0
13637	0
13638	1
13639	0
13640	0
13641	0
13642	1
13643	0
13644	1
13645	0
13646	0
13647	0
13648	0
13649	0
13650	0
13651	1
13652	1
13653	0
13654	0
13655	1
13656	1
13657	0
13658	0
13659	0
13660	0
13661	0
13662	0
13663	1
13664	0
13665	0
13666	0
13667	0
13668	1
13669	0
13670	0
13671	0
13672	0
13673	0
13674	1
13675	0
13676	0
13677	0
13678	1
13679	0
13680	1
13681	0
13682	0
13683	0
13684	0
13685	0
13686	1
13687	0
13688	0
13689	0
13690	0
13691	1
13692	0
13693	0
13694	0
13695	0
13696	0
13697	0
13698	0
13699	0
13700	0
13701	0
13702	0
13703	0
13704	0
13705	0
13706	0
13707	0
13708	0
13709	1
13710	0
13711	0
13712	0
13713	0
13714	0
13715	0
13716	0
13717	0
13718	0
13719	0
13720	0
13721	0
13722	0
13723	0
13724	0
13725	0
13726	0
13727	0
13728	0
13729	0
13730	0
13731	1
13732	0
13733	0
13734	0
13735	0
13736	0
13737	0
13738	0
13739	0
13740	1
13741	0
13742	1
13743	1
13744	0
13745	0
13746	0
13747	0
13748	0
13749	0
13750	0
13751	1
13752	0
13753	0
13754	0
13755	0
13756	1
13757	1
13758	0
13759	1
13760	0
13761	0
13762	0
13763	1
13764	0
13765	0
13766	1
13767	0
13768	1
13769	0
13770	0
13771	0
13772	0
13773	0
13774	0
13775	0
13776	0
13777	1
13778	0
13779	0
13780	1
13781	0
13782	0
13783	0
13784	0
13785	0
13786	0
13787	0
13788	0
13789	0
13790	0
13791	0
13792	0
13793	1
13794	0
13795	1
13796	1
13797	0
13798	0
13799	0
13800	1
13801	0
13802	0
13803	0
13804	0
13805	0
13806	0
13807	0
13808	0
13809	0
13810	0
13811	0
13812	0
13813	1
13814	0
13815	1
13816	0
13817	1
13818	0
13819	0
13820	0
13821	0
13822	0
13823	1
13824	0
13825	0
13826	0
13827	0
13828	0
13829	0
13830	0
13831	0
13832	0
13833	0
13834	0
13835	0
13836	0
13837	0
13838	0
13839	0
13840	0
13841	0
13842	0
13843	0
13844	0
13845	0
13846	0
13847	0
13848	0
13849	0
13850	0
13851	0
13852	0
13853	1
13854	0
13855	1
13856	1
13857	0
13858	0
13859	0
13860	0
13861	0
13862	0
13863	0
13864	1
13865	0
13866	0
13867	0
13868	0
13869	0
13870	0
13871	0
13872	0
13873	0
13874	0
13875	0
13876	0
13877	1
13878	0
13879	0
13880	1
13881	0
13882	0
13883	0
13884	1
13885	1
13886	0
13887	0
13888	0
13889	1
13890	1
13891	0
13892	0
13893	0
13894	0
13895	0
13896	0
13897	0
13898	0
13899	0
13900	0
13901	0
13902	0
13903	0
13904	0
13905	1
13906	0
13907	0
13908	0
13909	0
13910	0
13911	0
13912	0
13913	0
13914	0
13915	1
13916	0
13917	0
13918	0
13919	1
13920	0
13921	1
13922	1
13923	0
13924	0
13925	0
13926	0
13927	0
13928	0
13929	0
13930	0
13931	0
13932	0
13933	1
13934	0
13935	0
13936	0
13937	0
13938	0
13939	0
13940	1
13941	1
13942	0
13943	0
13944	0
13945	0
13946	0
13947	0
13948	0
13949	0
13950	0
13951	1
13952	0
13953	0
13954	0
13955	1
13956	0
13957	0
13958	1
13959	0
13960	0
13961	0
13962	0
13963	0
13964	0
13965	0
13966	0
13967	0
13968	1
13969	0
13970	0
13971	1
13972	0
13973	0
13974	0
13975	0
13976	1
13977	0
13978	0
13979	0
13980	0
13981	0
13982	1
13983	0
13984	0
13985	0
13986	0
13987	0
13988	0
13989	0
13990	0
13991	1
13992	0
13993	1
13994	0
13995	0
13996	0
13997	0
13998	0
13999	0
14000	0
14001	0
14002	0
14003	0
14004	0
14005	0
14006	0
14007	0
14008	0
14009	0
14010	1
14011	1
14012	0
14013	0
14014	0
14015	1
14016	1
14017	0
14018	1
14019	0
14020	0
14021	0
