"rownum"	"y"	"x1"	"x2"	"x3"	"x4"	"x5"	"x6"
1	0	0.204902	2.011219	0.97146	3.36369	-1.012809	0
2	0	-0.413967	0.933145	1.551685	1.148678	-2.947069	0
3	1	1.055031	0.793695	1.0227	0.976028	-2.563978	1
4	1	1.517275	0.706845	1.461537	2.818701	-1.491001	1
5	1	0.778431	2.725715	0.31182	-0.311938	-1.872429	0
6	1	0.024923	2.539093	0.677312	1.666777	-1.164162	1
7	0	-1.019982	0.400823	1.732405	2.199198	-0.741138	1
8	1	1.342585	1.068156	0.510294	0.891322	-0.932362	1
9	1	0.541051	0.164741	2.365569	3.362911	-1.359082	0
10	1	1.511124	3.019342	1.315297	2.179034	-2.314991	1
11	1	0.776382	2.985537	3.174195	3.222478	-1.24867	1
12	0	0.792755	-0.765333	2.927916	0.817795	-2.573685	0
13	0	0.026118	0.854056	1.950017	1.355332	0.322625	0
14	0	1.085221	0.335425	2.549816	2.983404	-1.546663	0
15	1	-0.219558	1.680504	1.425012	3.024048	-2.903036	0
16	0	-0.598053	1.867602	1.947587	2.674549	-2.874042	1
17	1	0.723321	4.207248	1.60733	1.817793	-3.339363	1
18	0	-1.936089	1.040549	0.730409	2.874039	-0.238899	0
19	1	0.36702	0.695524	2.974052	0.918006	-1.674488	0
20	1	2.126967	2.573121	1.532012	1.653987	-1.799628	1
21	1	2.414955	2.703607	1.022487	0.485906	-0.59861	0
22	1	1.521536	1.809001	1.095369	2.060947	-1.194433	0
23	1	1.432979	3.131656	1.465545	2.973366	-3.431479	0
24	1	1.497151	1.270301	1.563337	1.340886	-1.381499	1
25	0	-1.073708	0.126921	1.638091	1.294278	-2.009153	0
26	1	1.846944	1.758387	3.208481	2.581805	-1.906782	1
27	1	3.338435	2.21404	2.81787	2.857678	-0.895959	1
28	1	1.197327	4.428906	3.277656	1.302532	-1.590156	1
29	1	2.024248	1.73813	0.743379	2.619865	-2.376941	1
30	1	2.28785	1.591552	1.849097	1.382883	-2.154304	1
31	1	1.580893	0.280141	2.12155	2.664144	-2.226695	1
32	1	1.135007	1.596677	1.748789	2.431709	-3.049894	1
33	1	1.586823	1.242061	0.951865	3.249028	-0.986941	0
34	1	0.327273	2.620958	1.34138	1.417644	-1.398761	0
35	1	2.348914	1.848116	2.420062	2.338037	0.432723	1
36	1	1.528706	3.679592	0.969565	1.919551	-2.050801	0
37	1	2.233565	2.48006	2.153291	0.690394	-2.454758	1
38	1	1.578468	1.555926	1.230816	2.100471	-2.182705	1
39	1	1.376984	1.227509	1.887264	2.114405	-0.701667	0
40	1	1.428627	0.766632	2.153624	1.023081	-1.640243	0
41	1	1.357342	0.256631	2.107585	2.982849	-1.673046	1
42	1	2.900036	2.661526	2.89404	0.534872	-1.569649	0
43	1	0.779899	3.280978	1.363353	1.18522	-2.431803	1
44	1	1.804309	1.632997	1.915834	1.88068	-2.851968	0
45	1	1.184936	1.467196	2.469574	1.867257	-3.236622	0
46	1	1.214163	1.416892	0.700258	4.032945	-1.819433	0
47	0	-0.448257	1.58577	2.135301	3.126576	-1.290033	1
48	0	-0.413049	-0.28526	-0.071537	1.437315	-0.962976	0
49	1	2.52192	1.261115	2.009911	1.706421	-2.08297	1
50	0	-0.438842	1.427694	1.472659	1.324818	-1.181794	0
51	1	-0.828687	2.28866	2.993203	1.386575	-0.757759	1
52	1	0.94722	0.955066	0.109567	0.910619	-3.924799	1
53	0	0.525474	1.024006	1.786043	1.519855	-0.371267	0
54	0	-0.946564	0.637644	2.46319	0.314581	-2.617959	0
55	1	0.756011	0.795262	2.189592	0.722075	-1.746721	0
56	0	-0.824296	1.153281	1.416427	2.467237	-5.413255	0
57	1	0.312188	3.277786	1.797228	3.656068	-0.713219	0
58	1	0.729144	1.773784	0.225504	1.350934	0.477917	1
59	1	1.263376	2.853039	2.276312	2.940448	-0.903172	0
60	1	-0.041	1.642356	1.633324	2.473601	-2.934262	1
61	1	0.178982	2.223808	1.464856	0.53773	-1.342957	0
62	1	1.802553	1.696302	2.317598	1.975049	-2.792274	0
63	1	0.847741	2.759396	0.924625	2.475185	-2.072438	0
64	1	2.768704	2.113598	1.274404	0.935774	-3.859241	0
65	1	0.901041	1.183439	3.617593	2.509774	-2.570728	0
66	1	1.763824	1.312085	2.725844	3.961531	-0.253662	1
67	1	2.296309	0.745621	2.010701	0.329527	-1.205136	1
68	0	0.267038	0.471646	2.794058	2.385642	0.024401	1
69	1	1.117179	1.218143	1.389972	3.176258	-3.5329	0
70	1	0.759533	2.36826	1.548109	1.487388	-1.951026	0
71	0	-0.951403	1.880533	3.346316	1.736153	-1.250679	0
72	1	-0.610814	1.733491	0.890806	1.127552	-2.395877	1
