"rownum"	"y"	"x1"	"x2"	"x3"	"x4"	"x5"	"x6"
1	1	0.334373	1.493614	0.549066	3.36369	-1.012809	0
2	0	-0.172824	0.578913	1.10596	1.148678	-2.947069	0
3	1	1.100677	0.425058	0.606427	0.976028	-2.563978	1
4	0	1.480259	0.317367	0.965237	2.818701	-1.491001	1
5	0	0.819699	2.104036	-0.059936	-0.311938	-1.872429	0
6	0	0.172636	1.960035	0.286015	1.666777	-1.164162	1
7	1	-0.674598	0.142535	1.302344	2.199198	-0.741138	1
8	1	1.35399	0.666752	0.149846	0.891322	-0.932362	1
9	1	0.637046	-0.140602	1.790586	3.362911	-1.359082	0
10	0	1.393569	2.288273	0.75423	2.179034	-2.314991	1
11	1	0.700547	2.217272	2.362836	3.222478	-1.24867	1
12	0	0.864775	-0.961598	2.293982	0.817795	-2.573685	0
13	0	0.189157	0.480174	1.43089	1.355332	0.322625	0
14	1	1.086139	-0.022946	1.920278	2.983404	-1.546663	0
15	1	-0.030956	1.211476	0.962896	3.024048	-2.903036	0
16	0	-0.37929	1.365056	1.414182	2.674549	-2.874042	1
17	1	0.668435	3.316408	0.987356	1.817793	-3.339363	1
18	0	-1.439489	0.758309	0.461234	2.874039	-0.238899	0
19	0	0.446311	0.294124	2.294263	0.918006	-1.674488	0
20	0	1.925547	1.877764	0.932018	1.653987	-1.799628	1
21	1	2.184535	1.996982	0.483283	0.485906	-0.59861	0
22	0	1.456202	1.267596	0.612458	2.060947	-1.194433	0
23	1	1.317287	2.381007	0.880627	2.973366	-3.431479	0
24	1	1.438139	0.793124	1.031315	1.340886	-1.381499	1
25	1	-0.706408	-0.084661	1.234516	1.294278	-2.009153	0
26	0	1.655176	1.132883	2.397861	2.581805	-1.906782	1
27	1	2.920209	1.478701	1.992695	2.857678	-0.895959	1
28	1	1.000101	3.424136	2.38065	1.302532	-1.590156	1
29	0	1.899313	1.201702	0.297095	2.619865	-2.376941	1
30	1	2.087254	1.025646	1.232341	1.382883	-2.154304	1
31	0	1.525548	-0.072462	1.539774	2.664144	-2.226695	1
32	1	1.11114	1.077125	1.190258	2.431709	-3.049894	1
33	0	1.5384	0.788748	0.509371	3.249028	-0.986941	0
34	0	0.401524	1.993262	0.835897	1.417644	-1.398761	0
35	0	2.108028	1.219908	1.705606	2.338037	0.432723	1
36	1	1.396683	2.861698	0.434935	1.919551	-2.050801	0
37	1	1.996271	1.771308	1.459476	0.690394	-2.454758	1
38	0	1.509007	1.045297	0.734938	2.100471	-2.182705	1
39	0	1.325449	0.749097	1.312719	2.114405	-0.701667	0
40	0	1.37665	0.345482	1.554462	1.023081	-1.640243	0
41	1	1.336982	-0.083508	1.537198	2.982849	-1.673046	1
42	0	2.527963	1.8726	2.057083	0.534872	-1.569649	0
43	1	0.760523	2.536304	0.812728	1.18522	-2.431803	1
44	1	1.67227	1.076539	1.30568	1.88068	-2.851968	0
45	0	1.131334	0.938108	1.805778	1.867257	-3.236622	0
46	0	1.224598	0.960796	0.302994	4.032945	-1.819433	0
47	0	-0.248454	1.11286	1.578668	3.126576	-1.290033	1
48	1	-0.065185	-0.395489	-0.227682	1.437315	-0.962976	0
49	0	2.292547	0.729988	1.372625	1.706421	-2.08297	1
50	1	-0.209589	1.003091	1.02114	1.324818	-1.181794	0
51	1	-0.630439	1.692226	2.295593	1.386575	-0.757759	1
52	0	1.037328	0.600585	-0.171574	0.910619	-3.924799	1
53	0	0.613289	0.611987	1.266374	1.519855	-0.371267	0
54	0	-0.648594	0.313545	1.911704	0.314581	-2.617959	0
55	0	0.802627	0.393753	1.609245	0.722075	-1.746721	0
56	0	-0.524716	0.786503	0.998168	2.467237	-5.413255	0
57	0	0.346863	2.534864	1.199146	3.656068	-0.713219	0
58	0	0.816858	1.300178	-0.095637	1.350934	0.477917	1
59	0	1.153146	2.120126	1.586478	2.940448	-0.903172	0
60	1	0.114385	1.164509	1.134642	2.473601	-2.934262	1
61	0	0.285798	1.656695	0.961338	0.53773	-1.342957	0
62	0	1.653288	1.115294	1.644787	1.975049	-2.792274	0
63	1	0.854288	2.107008	0.456957	2.475185	-2.072438	0
64	0	2.497867	1.472813	0.706248	0.935774	-3.859241	0
65	0	0.857577	0.664475	2.802719	2.509774	-2.570728	0
66	1	1.619472	0.774888	2.007622	3.961531	-0.253662	1
67	0	2.120177	0.300372	1.401166	0.329527	-1.205136	1
68	0	0.376534	0.114399	2.153482	2.385642	0.024401	1
69	0	1.123718	0.769608	0.900239	3.176258	-3.5329	0
70	0	0.770591	1.754488	1.004823	1.487388	-1.951026	0
71	0	-0.732656	1.336733	2.615633	1.736153	-1.250679	0
72	0	-0.345351	1.291307	0.521645	1.127552	-2.395877	1
73	1	1.862883	1.568343	2.299999	2.678361	-2.052429	0
74	1	0.31604	0.192434	1.906958	2.056482	0.507211	1
75	1	0.733792	1.131997	1.436387	1.956634	-1.756042	1
76	1	1.866017	1.236832	1.083102	0.776715	-2.765669	1
77	1	1.279146	0.950947	1.492866	3.698138	-2.781402	1
78	0	0.789387	0.804258	1.977894	1.299262	-0.490652	1
79	0	1.343286	1.081756	-0.340399	2.232637	-2.083985	0
80	0	1.810434	1.319482	2.063676	2.857605	-2.754864	1
81	1	1.435137	1.246751	0.209304	0.928294	-2.915484	0
82	1	-0.289864	1.079732	2.134388	3.277792	-3.23865	0
83	0	1.4633	2.306205	2.42169	2.131342	-1.174238	1
84	1	1.27933	-1.169531	0.375074	0.262332	-0.219463	0
85	0	0.746278	-0.600325	1.919848	2.293481	-1.527299	0
86	0	0.538471	1.805346	0.552171	1.340416	-1.0323	0
87	0	2.2	1.038897	0.147377	0.791449	-2.325786	1
88	0	-0.610136	-0.026135	1.042847	2.738341	-1.71322	0
89	1	-0.421992	0.235397	0.492057	2.826515	-1.369077	0
90	1	2.551334	2.266242	3.531907	2.570322	-3.10682	0
91	0	1.364222	0.757019	0.784976	2.104782	-2.174904	1
92	1	0.774284	0.334758	1.056675	3.770146	-1.218405	1
93	0	1.119704	0.267143	1.309351	0.699174	-3.19478	0
94	0	1.619352	1.126814	0.97911	2.900382	-2.366582	1
95	0	0.661127	-0.127908	2.300303	1.718737	-2.160126	1
96	0	-0.16128	0.977764	1.356877	1.606576	-0.176261	0
